Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

D100       AP4-00007           14.3125mm       85.45mm     14.3125mm       85.45mm     15.2625mm        84.5mm  B         90.00 SCHOTTKY_SMD_31
U100       AP6-00087              41.6mm        90.9mm        41.6mm        90.9mm      42.825mm      91.853mm  B        180.00 MIC5504        
R624       AP2-00011            19.875mm     60.7375mm      19.875mm     60.7375mm      19.875mm     60.2375mm  B         90.00 R2             
R301       AP2-00000              48.7mm     71.8875mm        48.7mm     71.8875mm        48.7mm     71.2875mm  B         90.00 R2             
C300       AP1-00001           30.1649mm          55mm     30.1649mm          55mm     30.1649mm       54.45mm  T         90.00 CAP-NONPOL     
C109       AP1-00053           16.8625mm     86.6375mm     16.8625mm     86.6375mm     16.8625mm     87.1125mm  B        270.00 1 nF C0G       
C108       AP1-00039           26.1203mm          55mm     26.1203mm          55mm     26.1203mm     54.3015mm  T         90.00 CAP-NONPOL     
C105       AP1-00001             38.85mm        91.2mm       38.85mm        91.2mm       38.85mm       91.75mm  B        270.00 490-3890-2-ND@digikey
C104       AP1-00001              43.4mm       93.45mm        43.4mm       93.45mm       42.85mm       93.45mm  B        360.00 490-3890-2-ND@digikey
C103       AP1-00003           21.3875mm     82.1625mm     21.3875mm     82.1625mm     21.3875mm     82.9875mm  B        270.00 CAP-NONPOL     
C704       AP1-00001             18.75mm      46.425mm       18.75mm      46.425mm        19.3mm      46.425mm  T        180.00 CAP-NONPOL     
C703       AP1-00001                19mm     41.6207mm          19mm     41.6207mm       19.55mm     41.6207mm  T        180.00 CAP-NONPOL     
U600       AP6-00258            40.625mm       61.95mm      40.625mm       61.95mm       40.02mm       61.45mm  B         90.00 FXMA2102       
R106       AP2-00000             51.05mm      85.925mm       51.05mm      85.925mm       51.05mm      85.325mm  B         90.00 R2             
C504       AP1-00015             12.95mm      63.905mm       12.95mm      63.905mm       12.95mm       65.43mm  T        270.00 CAP-NONPOL     
R314       AP2-00000           39.8072mm     31.3717mm     39.8072mm     31.3717mm     39.8072mm     31.9717mm  T        270.00 R2             
R313       AP2-00000           33.7072mm     31.2717mm     33.7072mm     31.2717mm     33.7072mm     31.8717mm  T        270.00 R2             
Q103       AP5-00047            20.475mm       85.36mm      20.475mm       85.36mm        19.6mm       84.71mm  B         90.00 MOSFET_DUAL_P_S1G1D2S2G2D1D1D2
C309       AP1-00039            18.075mm      43.825mm      18.075mm      43.825mm      18.075mm     44.5235mm  T        270.00 CAP-NONPOL     
R306       AP2-00000            41.138mm     31.3609mm      41.138mm     31.3609mm      41.138mm     31.9609mm  T        270.00 R2             
R305       AP2-00000           41.1398mm     34.0273mm     41.1398mm     34.0273mm     41.1398mm     34.6273mm  T        270.00 R2             
C306       AP1-00001              29.1mm          33mm        29.1mm          33mm        29.1mm       33.55mm  T        270.00 CAP-NONPOL     
R110       AP2-00000              25.1mm      81.375mm        25.1mm      81.375mm        25.1mm      81.975mm  B        270.00 R2             
R109       AP2-00000              23.8mm      81.375mm        23.8mm      81.375mm        23.8mm      80.775mm  B         90.00 R2             
R304       AP2-00011             35.55mm        90.3mm       35.55mm        90.3mm       36.05mm        90.3mm  T        180.00 R2             
C301       AP1-00001            33.325mm        90.3mm      33.325mm        90.3mm      33.875mm        90.3mm  T        180.00 CAP-NONPOL     
J200       AP8-00622              54.3mm       59.84mm        54.3mm       59.84mm       53.03mm       71.27mm  T        270.00 HEADER 2x10    
XC400      AP7-00039             45.75mm       79.45mm       45.75mm       79.45mm        44.6mm       77.55mm  B         90.00 12.0MHz        
R423       AP2-00011           43.1044mm     82.6341mm     43.1044mm     82.6341mm     43.1044mm     82.1341mm  B         90.00 R2             
R422       AP2-00011              39.7mm        81.3mm        39.7mm        81.3mm        39.7mm        81.8mm  B        270.00 R2             
R421       AP2-00011              39.7mm        83.3mm        39.7mm        83.3mm        39.7mm        82.8mm  B         90.00 R2             
LABEL1     AP8-00317           -164.08mm     -102.48mm     22.6625mm     11.0592mm     -164.08mm     -102.48mm  B        180.00 PCBA_LABEL     
L401       AP3-00005              48.1mm        92.5mm        48.1mm        92.5mm        47.4mm        92.5mm  T        360.00 BLM18PG471SN1  
L402       AP3-00005            27.925mm          80mm      27.925mm          80mm      27.225mm          80mm  B        360.00 BLM18PG471SN1  
E4         AP8-00192           -164.08mm     -102.48mm           9mm         4.5mm     -164.08mm     -102.48mm  B        180.00 RUBBER FEET    
E3         AP8-00192           -164.08mm     -102.48mm          51mm         4.5mm     -164.08mm     -102.48mm  B        180.00 RUBBER FEET    
E2         AP8-00192           -164.08mm     -102.48mm           9mm        95.5mm     -164.08mm     -102.48mm  B        180.00 RUBBER FEET    
E1         AP8-00192           -164.08mm     -102.48mm      50.675mm      95.275mm     -164.08mm     -102.48mm  B        180.00 RUBBER FEET    
D402       AP4-00159           44.2129mm     92.5877mm     44.1879mm     92.5877mm     44.9879mm     93.2377mm  T        180.00 WDFN8          
C408       AP1-00053              48.7mm        90.9mm        48.7mm        90.9mm        48.7mm      91.375mm  T        270.00 1 nF C0G       
C407       AP1-00053              47.4mm        90.9mm        47.4mm        90.9mm        47.4mm      91.375mm  T        270.00 1 nF C0G       
C415       AP1-00053            34.625mm        73.6mm      34.625mm        73.6mm       34.15mm        73.6mm  B        360.00 Farnell no: 1288200
C414       AP1-00053            29.125mm        78.1mm      29.125mm        78.1mm      29.125mm      78.575mm  B        270.00 Farnell no: 1288200
C413       AP1-00053                30mm        78.1mm          30mm        78.1mm          30mm      78.575mm  B        270.00 100n           
C412       AP1-00053            34.625mm        74.5mm      34.625mm        74.5mm       34.15mm        74.5mm  B        360.00 100n           
C411       AP1-00053              40.2mm        78.7mm        40.2mm        78.7mm      39.725mm        78.7mm  B        360.00 100n           
C410       AP1-00053              36.6mm          84mm        36.6mm          84mm      36.125mm          84mm  B        360.00 100n           
C409       AP1-00053              36.6mm        84.9mm        36.6mm        84.9mm      36.125mm        84.9mm  B        360.00 Farnell no: 1288200
C406       AP1-00053              34.5mm          84mm        34.5mm          84mm      34.975mm          84mm  B        180.00 1 nF C0G       
C405       AP1-00053              34.5mm        84.9mm        34.5mm        84.9mm      34.975mm        84.9mm  B        180.00 Farnell no: 1288200
C404       AP1-00053            28.325mm        81.1mm      28.325mm        81.1mm        28.8mm        81.1mm  B        180.00 100n           
C402       AP1-00053           42.2045mm     82.6341mm     42.2045mm     82.6341mm     42.2045mm     83.1091mm  B        270.00 10p            
C401       AP1-00053           43.0929mm     80.2261mm     43.0929mm     80.2261mm     43.0929mm     79.7511mm  B         90.00 22p            
